ID,length,height,bodyAngle,wheelAngle,headAngle,time
1358,3046,328,170,409,549,3
1360,2227,447,181,219,75,1
1363,2227,441,181,220,75,4
1367,3061,257,669,45,174,2
1368,3467,456,410,197,482,2
1369,2961,316,529,233,61,2
1370,2804,309,546,8,108,1
1371,3487,260,431,399,476,2
1376,3282,329,234,324,537,1
1377,3282,330,234,324,537,1
1378,2602,317,156,97,416,3
1380,2579,329,582,199,562,2
1391,3127,268,173,532,488,3
1393,3127,271,173,532,488,2
1395,3127,271,173,532,488,2
4726,2650,273,175,453,379,1
1399,2774,330,574,127,318,1
2934,3112,270,176,333,509,1
1402,3139,474,309,133,220,1
1404,3127,269,174,532,488,2
21261,2930,252,225,351,306,1
1408,2675,309,901,58,104,1
1409,2675,313,914,66,97,2
1411,2675,329,914,66,97,1
1415,2829,260,621,129,228,4
1417,3061,254,666,44,171,2
1418,2563,329,356,293,738,1
1419,3666,265,306,298,517,2
1421,3666,269,306,298,517,3
12442,2688,325,113,114,500,1
1433,2978,324,529,414,56,2
1435,2615,329,219,33,427,1
1436,2615,329,219,33,427,1
1437,2978,323,527,411,57,6
12342,3815,251,171,232,417,1
1444,4087,329,34,49,95,1
1445,2647,266,579,392,529,2
12637,2845,247,428,275,443,1
1451,2579,331,357,381,734,2
15914,2812,248,361,357,786,1
1453,2579,330,353,373,731,1
1455,2579,327,362,378,734,2
1456,2589,324,742,21,149,2
19129,3006,247,512,33,112,1
1458,2902,261,398,38,152,2
10043,3463,264,112,574,729,1
1468,2797,311,619,65,201,2
1473,3052,340,664,114,171,1
1476,3600,258,574,61,211,2
1477,3600,258,574,61,211,2
1482,2805,487,586,196,321,1
1483,3346,486,295,1,385,2
1485,2654,330,742,163,143,2
1487,2806,482,590,189,314,1
1488,2654,331,742,163,143,1
1489,2654,333,742,163,143,1
1490,2654,335,742,163,143,1
1491,2807,480,587,196,321,1
1494,2972,329,537,385,84,1
1495,2972,332,530,379,86,2
1496,2972,331,533,385,84,1
1497,2879,444,559,105,84,1
1498,2807,477,587,196,322,1
1499,2395,482,192,67,99,1
1500,3346,482,295,2,385,3
1501,2624,323,689,13,160,2
1503,3650,253,384,100,109,2
1504,2821,254,624,87,216,2
1507,2879,258,643,34,152,2
14755,2928,252,265,220,349,1
1509,2177,447,471,530,365,1
1512,2177,446,471,530,365,1
1513,2177,442,471,530,365,2
